signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_1-5,Case-2TRD_1-4,Case-2TRD_1-5,双因素,,,,,,original,Case-2TRD_1-4,A,50,14.191202,0.129731,14.191784,0.01683,0.716657,-0.6796,14.031139,14.443632,0.412493,14.034358,14.105517,14.158074,14.278699,14.415417,0.173182,0.009142,1.017746,1.000041,1.017788,0.975436,0.671798,0.001075,0.019421,0.063884,0.040816,0.040816,0.02,0.776928,0.030058,0.00104,7.154999,69.909995,1.205586,0.04,97.077118,2.473468,0.449414,0.999959,0.480225
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_1-5,Case-2TRD_1-4,Case-2TRD_1-5,双因素,,,,,,original,Case-2TRD_1-5,B,50,14.076037,0.116706,14.076511,0.01362,-0.158714,-1.212912,13.904208,14.253147,0.348939,13.908207,13.968418,14.080905,14.178317,14.226761,0.209899,0.008291,1.012548,1.000034,1.012582,0.989803,0.738942,0.000322,0.013296,0.023674,0.061224,0.061224,0.02,0.851728,0.029556,0.001352,7.263189,66.454818,0.988144,0.02,96.80361,2.455788,0.740602,0.999966,0.227578
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_1-5,Case-2TRD_1-4,Case-2TRD_1-5,双因素,,,,,,final_comm,Case-2TRD_1-4,A,50,9.313898,0.020007,9.313919,0.0004,0.061388,0.123252,9.264335,9.360866,0.096531,9.296612,9.303077,9.310135,9.326308,9.343537,0.023231,0.002148,1.005041,1.000002,1.005043,0.822361,-0.387701,0.000156,0.008477,0.390366,0.142857,0.142857,0.06,0.627361,0.090957,0.004382,3.598326,15.518869,2.061702,0.14,71.7137,25.643123,2.643177,0.999998,0.880359
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_1-5,Case-2TRD_1-4,Case-2TRD_1-5,双因素,,,,,,final_comm,Case-2TRD_1-5,B,50,9.313761,0.019747,9.313781,0.00039,0.590168,0.406566,9.276101,9.37339,0.097288,9.292454,9.300749,9.309289,9.327492,9.338666,0.026743,0.00212,1.0064,1.000002,1.006402,0.809091,-0.253334,5.7e-05,0.006405,0.146754,0.102041,0.102041,0.06,0.51544,0.11738,0.010418,2.119137,3.662799,2.750544,0.2,65.681156,22.410662,11.908182,0.999998,0.816761
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-1,Case-2TRD_1-4,Case-2TRD_12-1,双因素,,,,,,original,Case-2TRD_1-4,A,400,14.282121,0.210692,14.283671,0.044391,0.235375,-0.966468,13.913478,14.760993,0.847515,14.031139,14.093334,14.263347,14.444228,14.538341,0.350893,0.014752,1.033417,1.000109,1.033529,0.969641,0.802676,0.002526,0.024564,0.056909,0.0401,0.0401,0.0025,0.689762,0.016884,0.00161,5.724453,44.808242,2.476644,0.0325,96.581414,2.780366,0.638221,0.999891,0.341862
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-1,Case-2TRD_1-4,Case-2TRD_12-1,双因素,,,,,,original,Case-2TRD_12-1,B,400,9.880644,0.255588,9.88394,0.065325,-0.277617,-0.999834,9.303498,10.31469,1.011193,9.507202,9.688336,9.914722,10.097379,10.206222,0.409043,0.025868,1.043581,1.000334,1.043929,0.917336,0.792782,0.010176,0.06734,0.155772,0.087719,0.087719,0.0025,0.560575,0.032084,0.005241,3.423579,12.906551,3.232368,0.055,88.701473,8.213076,3.085451,0.999666,0.831389
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-1,Case-2TRD_1-4,Case-2TRD_12-1,双因素,,,,,,final_comm,Case-2TRD_1-4,A,400,9.769259,0.059988,9.769443,0.003599,0.143708,0.188033,9.565115,9.923031,0.357916,9.701491,9.731345,9.760728,9.810139,9.848683,0.078793,0.00614,1.015721,1.000019,1.01574,0.915801,0.259401,0.00051,0.01389,0.141703,0.090226,0.090226,0.0325,0.084138,0.047283,0.003042,4.922863,30.557016,4.835268,0.075,96.133735,2.116092,1.750172,0.999981,0.581946
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-1,Case-2TRD_1-4,Case-2TRD_12-1,双因素,,,,,,final_comm,Case-2TRD_12-1,B,400,9.357372,0.067822,9.357617,0.0046,0.126039,3.970433,9.070335,9.683584,0.613249,9.278904,9.322479,9.354579,9.396056,9.431055,0.073577,0.007248,1.034834,1.000026,1.034861,0.796129,0.335853,0.001525,0.025981,0.331544,0.203008,0.203008,0.055,0.190764,0.085706,0.011728,2.20694,4.19499,5.524442,0.15,79.00728,11.129068,9.863653,0.999974,1.080841
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-2,Case-2TRD_1-4,Case-2TRD_12-2,双因素,,,,,,original,Case-2TRD_1-4,A,400,14.282121,0.210692,14.283671,0.044391,0.235375,-0.966468,13.913478,14.760993,0.847515,14.031139,14.093334,14.263347,14.444228,14.538341,0.350893,0.014752,1.033417,1.000109,1.033529,0.969641,0.802676,0.002526,0.024564,0.056909,0.0401,0.0401,0.0025,0.689762,0.016884,0.00161,5.724453,44.808242,2.476644,0.0325,96.581414,2.780366,0.638221,0.999891,0.341862
pressure,MPa,Case-2TRD_1-4 vs Case-2TRD_12-2,Case-2TRD_1-4,Case-2TRD_12-2,双因素,,,,,,original,Case-2TRD_12-2,B,400,10.239194,0.162278,10.240476,0.026334,0.048565,-0.97606,9.887021,10.60935,0.722329,10.027219,10.099168,10.241857,10.373601,10.455143,0.274433,0.015849,1.036021,1.000125,1.036151,0.837578,0.61769,0.008492,0.064413,0.322474,0.112782,0.112782,0.0025,0.547319,0.053655,0.008979,2.291431,4.966257,3.816523,0.13,80.261221,12.524913,7.213866,0.999875,1.259235
