signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_5-2,Case-2RCT_5-1,Case-2RCT_5-2,双因素,,,,,,final_comm,Case-2RCT_5-2,B,351,2.775559,0.030246,2.775724,0.000915,0.40897,0.14062,2.703194,2.880795,0.177601,2.738143,2.753301,2.773002,2.795329,2.814754,0.042028,0.010897,1.037854,1.000059,1.037915,0.570682,0.114978,0.000778,0.017485,0.850413,0.231429,0.231429,0.002849,0.076245,0.131165,0.015987,1.223796,0.705773,6.100386,0.259259,49.319501,34.774114,15.906385,0.999941,1.048295
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-1,Case-2RCT_5-1,Case-2RCT_7-1,双因素,,,,,,original,Case-2RCT_5-1,A,150,4.486425,0.056675,4.48678,0.003212,-0.209676,0.097723,4.299875,4.62945,0.329575,4.413886,4.450698,4.486781,4.52859,4.555029,0.077892,0.012633,1.031798,1.000079,1.03188,0.805604,0.356178,0.00124,0.020656,0.386005,0.127517,0.127517,0.006667,0.303251,0.072469,0.008074,1.895098,3.681245,4.149503,0.173333,75.817653,18.341336,5.841011,0.999921,0.849116
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-1,Case-2RCT_5-1,Case-2RCT_7-1,双因素,,,,,,original,Case-2RCT_7-1,B,150,2.283475,0.072771,2.284627,0.005296,-0.069352,-0.366971,2.107322,2.43917,0.331848,2.183307,2.240247,2.28799,2.327934,2.38764,0.087687,0.031868,1.067645,1.000504,1.068183,0.932538,0.581754,0.000773,0.014811,0.145878,0.073826,0.073826,0.006667,0.435835,0.036553,0.003519,3.636627,17.173153,3.096534,0.08,91.003534,7.18293,1.813536,0.999496,0.521963
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-1,Case-2RCT_5-1,Case-2RCT_7-1,双因素,,,,,,final_comm,Case-2RCT_5-1,A,150,2.368962,0.021982,2.369064,0.000483,-0.220367,0.304201,2.30227,2.434545,0.132275,2.339961,2.355956,2.367972,2.384162,2.398501,0.028206,0.009279,1.02764,1.000043,1.027684,0.754765,-0.299288,0.000231,0.010235,0.478047,0.194631,0.194631,0.08,0.136437,0.099935,0.008067,2.399961,5.860004,4.540351,0.146667,70.771914,21.401419,7.826667,0.999957,1.027704
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-1,Case-2RCT_5-1,Case-2RCT_7-1,双因素,,,,,,final_comm,Case-2RCT_7-1,B,150,2.014325,0.02277,2.014453,0.000518,0.119155,-0.312538,1.959043,2.074986,0.115943,1.984821,1.998752,2.014354,2.02858,2.046254,0.029828,0.011304,1.030049,1.000063,1.030114,0.849266,-0.13135,0.000162,0.007647,0.312926,0.127517,0.127517,0.08,0.1733,0.07397,0.005288,3.289757,13.477141,4.110285,0.113333,83.750395,12.520225,3.72938,0.999936,0.740775
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-2,Case-2RCT_5-1,Case-2RCT_7-2,双因素,,,,,,original,Case-2RCT_5-1,A,400,4.446615,0.071749,4.447192,0.005148,-0.133724,-0.633084,4.26687,4.62945,0.36258,4.348891,4.395014,4.451633,4.502038,4.531262,0.107024,0.016136,1.040983,1.00013,1.041118,0.831621,0.300552,0.001729,0.027691,0.335798,0.152882,0.152882,0.0025,0.248094,0.065223,0.006826,1.960932,4.703662,4.965645,0.125,79.884828,15.72064,4.394532,0.99987,1.017191
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-2,Case-2RCT_5-1,Case-2RCT_7-2,双因素,,,,,,original,Case-2RCT_7-2,B,400,2.586468,0.074071,2.587526,0.005486,0.018436,-0.323077,2.385101,2.811019,0.425918,2.496535,2.526769,2.591366,2.638664,2.675489,0.111894,0.028638,1.086373,1.000409,1.086817,0.905686,0.412479,0.001037,0.018639,0.188982,0.092732,0.092732,0.005,0.155239,0.048351,0.003814,3.007592,11.918094,5.070782,0.0775,87.634185,10.417182,1.948634,0.999591,0.55008
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-2,Case-2RCT_5-1,Case-2RCT_7-2,双因素,,,,,,final_comm,Case-2RCT_5-1,A,400,2.157854,0.022577,2.157972,0.00051,-0.318512,0.402079,2.070994,2.231485,0.160491,2.129508,2.143353,2.158473,2.174401,2.184789,0.031048,0.010463,1.034066,1.000055,1.034122,0.65615,0.087895,0.000339,0.012095,0.664145,0.197995,0.197995,0.0275,0.064362,0.112883,0.012774,1.519195,1.452642,6.031951,0.24,67.667271,17.768341,14.564388,0.999945,1.114654
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-2,Case-2RCT_5-1,Case-2RCT_7-2,双因素,,,,,,final_comm,Case-2RCT_7-2,B,400,2.011431,0.033376,2.011707,0.001114,-0.216933,0.062834,1.903969,2.113026,0.209056,1.967448,1.990162,2.014316,2.036438,2.051053,0.046276,0.016593,1.050364,1.000137,1.050509,0.886192,0.213902,0.000248,0.009744,0.223018,0.107769,0.107769,0.045,0.168243,0.059336,0.004266,3.699959,15.473949,4.85804,0.065,90.313824,6.484067,3.202109,0.999863,0.723448
pressure,MPa,Case-2RCT_5-1 vs Case-2RCT_7-3,Case-2RCT_5-1,Case-2RCT_7-3,双因素,,,,,,original,Case-2RCT_5-1,A,65,4.495385,0.042662,4.495584,0.00182,0.436669,-0.023713,4.423543,4.62945,0.205907,4.447558,4.459682,4.492278,4.528593,4.550719,0.068911,0.00949,1.029777,1.000044,1.029823,0.836182,0.106437,0.000649,0.015019,0.356804,0.125,0.125,0.015385,0.230686,0.0751,0.005543,2.372924,6.671179,3.396005,0.123077,78.517477,17.017935,4.464588,0.999956,0.693147
