signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-6,Case-2TRD_11-2,Case-2TRD_7-6,双因素,,,,,,final_comm,Case-2TRD_11-2,A,400,67.244583,0.356935,67.245528,0.127402,-0.191231,0.188759,66.060038,68.476126,2.416088,66.740516,67.00765,67.253183,67.505347,67.665201,0.497697,0.005308,1.0183,1.000014,1.018314,0.724754,0.211054,0.065195,0.149882,0.511721,0.157895,0.157895,0.055,0.115147,0.099238,0.012513,1.842564,2.418769,5.854657,0.22,75.963824,11.627071,12.409105,0.999986,1.011001
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-6,Case-2TRD_11-2,Case-2TRD_7-6,双因素,,,,,,final_comm,Case-2TRD_7-6,B,400,68.2128,0.354347,68.213719,0.125562,0.011647,-0.813856,67.317053,69.019788,1.702735,67.746519,67.939154,68.208881,68.462745,68.7019,0.523591,0.005195,1.011817,1.000013,1.01183,0.926634,0.474484,0.018535,0.073831,0.147619,0.057644,0.057644,0.0225,0.144954,0.04282,0.003611,4.726233,25.495237,4.82264,0.0625,95.648159,1.933108,2.418733,0.999987,0.598028
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-7,Case-2TRD_11-2,Case-2TRD_7-7,双因素,,,,,,original,Case-2TRD_11-2,A,400,79.99004,1.173839,79.998631,1.377899,-0.048621,-0.918268,77.116456,82.832482,5.716026,78.403496,79.038343,79.944698,81.01552,81.453759,1.977176,0.014675,1.035424,1.000107,1.035535,0.875281,0.416615,0.336212,0.356446,0.244004,0.102757,0.102757,0.0025,0.394884,0.052855,0.005707,2.427922,7.569999,4.502879,0.1125,78.819564,18.093116,3.08732,0.999893,0.745215
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-7,Case-2TRD_11-2,Case-2TRD_7-7,双因素,,,,,,original,Case-2TRD_7-7,B,400,94.837328,1.28841,94.846057,1.659999,0.40198,0.234353,91.914372,98.181567,6.267195,93.052334,94.067958,94.899635,95.424771,96.866807,1.356813,0.013585,1.035168,1.000092,1.035263,0.971407,0.682709,0.098227,0.173561,0.059173,0.062657,0.062657,0.0025,0.286374,0.023178,0.001401,5.296497,44.740292,3.948033,0.045,97.381367,2.122434,0.496199,0.999908,0.435332
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-7,Case-2TRD_11-2,Case-2TRD_7-7,双因素,,,,,,final_comm,Case-2TRD_11-2,A,400,67.247146,0.361275,67.248115,0.13052,-0.244361,0.058494,65.982939,68.414629,2.43169,66.706834,66.997902,67.259725,67.520041,67.678664,0.522139,0.005372,1.017346,1.000014,1.017361,0.732027,0.142286,0.064886,0.150537,0.497135,0.14787,0.14787,0.055,0.119457,0.098903,0.011974,1.928604,2.767231,5.820229,0.2125,77.467012,10.546336,11.986652,0.999986,1.018972
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-7,Case-2TRD_11-2,Case-2TRD_7-7,双因素,,,,,,final_comm,Case-2TRD_7-7,B,400,68.131432,0.438881,68.132842,0.192616,-0.215824,-0.228668,66.769184,69.064082,2.294898,67.550752,67.883266,68.131533,68.432045,68.735013,0.548779,0.006442,1.013668,1.000021,1.013689,0.9354,0.282178,0.024409,0.095868,0.126724,0.082707,0.082707,0.0425,0.141398,0.04699,0.002472,5.628473,38.253231,4.665764,0.0575,96.9585,1.415183,1.626317,0.999979,0.564117
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-8,Case-2TRD_11-2,Case-2TRD_7-8,双因素,,,,,,original,Case-2TRD_11-2,A,325,79.748824,1.143726,79.757,1.30811,0.261017,-0.635575,77.116456,82.832482,5.716026,78.283772,78.886909,79.620947,80.623482,81.377025,1.736573,0.014342,1.038561,1.000103,1.038667,0.847443,0.326205,0.378714,0.373984,0.289512,0.114198,0.114198,0.003077,0.269761,0.064744,0.006655,2.238782,6.166917,5.034907,0.12,75.280399,20.581917,4.137685,0.999897,0.828012
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-8,Case-2TRD_11-2,Case-2TRD_7-8,双因素,,,,,,original,Case-2TRD_7-8,B,325,95.444552,0.927113,95.449041,0.859538,-0.070535,-0.672989,93.405916,97.289898,3.883982,94.160187,94.8208,95.456409,96.142618,96.643063,1.321819,0.009714,1.019286,1.000047,1.019334,0.919105,0.665429,0.14043,0.141541,0.163378,0.061728,0.061728,0.003077,0.308226,0.036915,0.004404,3.858388,17.435829,4.101697,0.046154,91.572842,6.035932,2.391226,0.999953,0.354576
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-8,Case-2TRD_11-2,Case-2TRD_7-8,双因素,,,,,,final_comm,Case-2TRD_11-2,A,325,67.499312,0.393389,67.500455,0.154755,0.163981,1.176609,66.262192,68.972354,2.710162,67.008542,67.232261,67.52987,67.759311,67.905122,0.52705,0.005828,1.021806,1.000017,1.021823,0.676971,0.229059,0.089662,0.177248,0.579382,0.157407,0.157407,0.055385,0.118079,0.114231,0.013512,1.501796,1.316835,5.96971,0.236923,65.276936,20.507651,14.215413,0.999983,0.90433
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-8,Case-2TRD_11-2,Case-2TRD_7-8,双因素,,,,,,final_comm,Case-2TRD_7-8,B,325,68.747731,0.35583,68.748649,0.126615,0.638746,0.989306,67.978444,70.366786,2.388342,68.311899,68.480781,68.737653,68.999344,69.133896,0.518562,0.005176,1.023537,1.000013,1.023551,0.82985,0.37132,0.04354,0.080133,0.343875,0.074074,0.074074,0.046154,0.158272,0.067432,0.008606,2.87902,8.11296,4.695519,0.073846,86.54806,6.999506,6.452434,0.999987,0.49605
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-9,Case-2TRD_11-2,Case-2TRD_7-9,双因素,,,,,,original,Case-2TRD_11-2,A,187,79.186591,0.778472,79.190397,0.606019,-0.187772,-0.330323,77.116456,81.038932,3.922476,78.066948,78.707754,79.246653,79.710244,80.120876,1.00249,0.009831,1.023343,1.000048,1.023392,0.791042,0.143095,0.241026,0.307731,0.397721,0.155914,0.155914,0.010695,0.141953,0.086412,0.007319,1.858672,4.319298,4.873331,0.144385,65.331072,29.455657,5.213272,0.999952,0.893622
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-9,Case-2TRD_11-2,Case-2TRD_7-9,双因素,,,,,,original,Case-2TRD_7-9,B,187,93.446323,0.852729,93.450193,0.727147,-0.444821,-0.995749,91.614105,94.600958,2.986853,92.204513,92.82936,93.590652,94.218921,94.455137,1.389561,0.009125,1.012314,1.000041,1.012356,0.949183,0.593287,0.075684,0.12656,0.104084,0.05914,0.05914,0.032086,0.211914,0.036867,0.00256,4.889816,29.726951,3.646398,0.048128,94.514642,4.047992,1.437367,0.999959,0.361539
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-9,Case-2TRD_11-2,Case-2TRD_7-9,双因素,,,,,,final_comm,Case-2TRD_11-2,A,187,67.804587,0.333136,67.805401,0.11098,0.158381,-0.221432,66.955536,68.736642,1.781106,67.38899,67.548401,67.800804,68.022306,68.223036,0.473905,0.004913,1.013734,1.000012,1.013746,0.742029,-0.237972,0.050696,0.161235,0.456803,0.188172,0.188172,0.096257,0.150328,0.109251,0.008754,2.205963,4.702317,4.773372,0.165775,67.4818,23.687189,8.831011,0.999988,1.194686
torque,N·m,Case-2TRD_11-2 vs Case-2TRD_7-9,Case-2TRD_11-2,Case-2TRD_7-9,双因素,,,,,,final_comm,Case-2TRD_7-9,B,187,69.329424,0.306468,69.330098,0.093923,-0.575025,-0.400343,68.448031,69.837266,1.389235,68.907931,69.096173,69.388588,69.578278,69.696541,0.482105,0.00442,1.007315,1.00001,1.007325,0.898557,0.262949,0.017587,0.064903,0.187249,0.05914,0.05914,0.032086,0.281931,0.059467,0.00486,3.905079,16.812872,3.976008,0.080214,90.499493,5.938885,3.561621,0.99999,0.563469
