signal,unit,pair,hole_A,hole_B,factor_type,diff_params,drilling_speed_A,rotation_speed_A,drilling_speed_B,rotation_speed_B,stage,hole,role,N_samples,mean,std,rms,variance,skewness,kurtosis_excess,minimum,maximum,peak_to_peak,p10,p25,p50,p75,p90,iqr,coeff_variation,crest_factor,shape_factor,impulse_factor,autocorr_lag1,autocorr_lag5,first_diff_variance,first_diff_mean_abs,smoothness_index,zero_crossing_rate,mean_crossing_rate,dominant_freq,dominant_freq_power,spectral_centroid,spectral_variance,spectral_skewness,spectral_kurtosis,spectral_entropy,spectral_rolloff_85,band_energy_low_pct,band_energy_mid_pct,band_energy_high_pct,dc_ratio,sample_entropy
pressure,MPa,Case-2RCT_2-3 vs Case-2RCT_2-6,Case-2RCT_2-3,Case-2RCT_2-6,双因素,,,,,,original,Case-2RCT_2-6,B,60,1.417456,0.072897,1.419298,0.005314,0.360758,-0.006997,1.264705,1.609514,0.344809,1.318687,1.373127,1.412372,1.462057,1.507325,0.088929,0.051428,1.134021,1.0013,1.135495,0.047496,-0.057699,0.010122,0.076313,1.904777,0.508475,0.508475,0.266667,0.150988,0.243995,0.018345,0.240546,-1.044364,4.273373,0.45,16.164529,32.406803,51.428668,0.998701,2.079442
pressure,MPa,Case-2RCT_2-3 vs Case-2RCT_2-6,Case-2RCT_2-3,Case-2RCT_2-6,双因素,,,,,,final_comm,Case-2RCT_2-3,A,60,0.820153,0.032233,0.820776,0.001039,0.159777,-0.444048,0.75336,0.891981,0.138622,0.784747,0.797184,0.816571,0.843064,0.856816,0.045881,0.039301,1.086754,1.000759,1.087579,0.378456,0.293721,0.001298,0.029489,1.248956,0.372881,0.372881,0.2,0.282842,0.182542,0.005664,1.036841,2.817905,3.360136,0.25,8.517899,75.675775,15.806325,0.99924,
pressure,MPa,Case-2RCT_2-3 vs Case-2RCT_2-6,Case-2RCT_2-3,Case-2RCT_2-6,双因素,,,,,,final_comm,Case-2RCT_2-6,B,60,0.845058,0.034146,0.845736,0.001166,0.318194,0.366145,0.77514,0.930199,0.155059,0.795389,0.831917,0.843416,0.86348,0.883787,0.031563,0.040407,1.09987,1.000802,1.100753,0.313282,-0.01368,0.001629,0.029611,1.397522,0.40678,0.40678,0.266667,0.140759,0.19538,0.006015,0.598689,1.082975,3.837275,0.266667,9.735983,58.991225,31.272792,0.999198,1.634131
pressure,MPa,Case-2RCT_2-4 vs Case-2RCT_2-5,Case-2RCT_2-4,Case-2RCT_2-5,双因素,,,,,,original,Case-2RCT_2-4,A,55,1.229539,0.065387,1.231244,0.004275,0.445874,-0.301757,1.095962,1.393958,0.297996,1.160689,1.178672,1.220341,1.272837,1.316271,0.094165,0.05318,1.132154,1.001387,1.133725,0.006589,0.060565,0.008136,0.071314,1.903065,0.462963,0.462963,0.181818,0.146439,0.258698,0.013483,-0.16982,-1.21685,4.167263,0.381818,10.479329,37.913006,51.607665,0.998614,2.70805
pressure,MPa,Case-2RCT_2-4 vs Case-2RCT_2-5,Case-2RCT_2-4,Case-2RCT_2-5,双因素,,,,,,original,Case-2RCT_2-5,B,55,1.323177,0.062866,1.324643,0.003952,0.41606,-0.332284,1.205497,1.474584,0.269086,1.261819,1.277282,1.318619,1.364375,1.421521,0.087093,0.047511,1.113194,1.001108,1.114427,0.203238,-0.115442,0.006361,0.064809,1.609555,0.388889,0.388889,0.236364,0.183835,0.21905,0.013836,0.757073,-0.228681,4.122471,0.363636,8.765504,62.849642,28.384854,0.998893,2.70805
pressure,MPa,Case-2RCT_2-4 vs Case-2RCT_2-5,Case-2RCT_2-4,Case-2RCT_2-5,双因素,,,,,,final_comm,Case-2RCT_2-4,A,55,0.923064,0.028016,0.923481,0.000785,0.189248,-0.561894,0.866,0.984513,0.118513,0.885617,0.905875,0.919847,0.944106,0.961186,0.038232,0.030351,1.066089,1.000452,1.066571,0.332919,0.244276,0.000969,0.026617,1.234272,0.388889,0.388889,0.181818,0.376269,0.205716,0.006732,1.069543,2.118594,3.391032,0.254545,9.08949,71.955623,18.954887,0.999548,2.197225
pressure,MPa,Case-2RCT_2-4 vs Case-2RCT_2-5,Case-2RCT_2-4,Case-2RCT_2-5,双因素,,,,,,final_comm,Case-2RCT_2-5,B,55,0.950714,0.029452,0.951162,0.000867,0.203341,-0.573858,0.896796,1.019517,0.122721,0.91211,0.928216,0.951434,0.96643,0.993006,0.038214,0.030979,1.071865,1.000471,1.07237,0.166202,0.118426,0.001456,0.032953,1.678331,0.5,0.5,0.236364,0.34489,0.22822,0.010555,1.020109,1.030588,3.546567,0.309091,5.802278,73.19929,20.998432,0.999529,2.639057
pressure,MPa,Case-2RCT_2-4 vs Case-2RCT_2-6,Case-2RCT_2-4,Case-2RCT_2-6,双因素,,,,,,original,Case-2RCT_2-4,A,60,1.231199,0.064142,1.23284,0.004114,0.425679,-0.269343,1.095962,1.393958,0.297996,1.160875,1.182045,1.221056,1.271106,1.320035,0.089061,0.052097,1.130689,1.001334,1.132196,0.050111,0.04762,0.007688,0.068387,1.868735,0.457627,0.457627,0.35,0.163982,0.242435,0.014274,0.005888,-1.348583,4.122388,0.383333,11.036705,40.537323,48.425972,0.998667,2.639057
pressure,MPa,Case-2RCT_2-4 vs Case-2RCT_2-6,Case-2RCT_2-4,Case-2RCT_2-6,双因素,,,,,,original,Case-2RCT_2-6,B,60,1.417456,0.072897,1.419298,0.005314,0.360758,-0.006997,1.264705,1.609514,0.344809,1.318687,1.373127,1.412372,1.462057,1.507325,0.088929,0.051428,1.134021,1.0013,1.135495,0.047496,-0.057699,0.010122,0.076313,1.904777,0.508475,0.508475,0.266667,0.150988,0.243995,0.018345,0.240546,-1.044364,4.273373,0.45,16.164529,32.406803,51.428668,0.998701,2.079442
pressure,MPa,Case-2RCT_2-4 vs Case-2RCT_2-6,Case-2RCT_2-4,Case-2RCT_2-6,双因素,,,,,,final_comm,Case-2RCT_2-4,A,60,0.801943,0.026471,0.802372,0.000701,0.437063,-0.268757,0.742994,0.864744,0.12175,0.770222,0.783656,0.797716,0.819478,0.838485,0.035822,0.033009,1.077734,1.000536,1.078312,0.302327,0.046139,0.000923,0.024523,1.317758,0.389831,0.389831,0.183333,0.193402,0.205579,0.012845,0.776024,-0.647049,3.825956,0.383333,9.588315,61.841109,28.570576,0.999464,2.159484
